Date,Daily Followers Gained,Total Follower Count,Daily Followed Users,Total Followed Users,Daily Tweets Posted,Total Tweets Posted,Name
2016-12-31,74,19711,0,1444,0,3681,PeteButtigieg
2017-01-01,33,19744,1,1445,4,3685,PeteButtigieg
2017-01-02,38,19782,0,1445,1,3686,PeteButtigieg
2017-01-03,53,19835,4,1449,2,3688,PeteButtigieg
2017-01-04,41,19876,0,1449,1,3689,PeteButtigieg
2017-01-05,56,19932,0,1449,5,3694,PeteButtigieg
2017-01-06,1476,21408,4,1453,5,3699,PeteButtigieg
2017-01-07,441,21849,2,1455,2,3701,PeteButtigieg
2017-01-08,160,22009,9,1464,1,3702,PeteButtigieg
2017-01-09,124,22133,3,1467,2,3704,PeteButtigieg
2017-01-10,198,22331,2,1469,8,3712,PeteButtigieg
2017-01-11,120,22451,5,1474,6,3718,PeteButtigieg
2017-01-12,103,22554,2,1476,5,3723,PeteButtigieg
2017-01-13,88,22642,11,1487,1,3724,PeteButtigieg
2017-01-14,88,22730,3,1490,5,3729,PeteButtigieg
2017-01-15,263,22993,7,1497,8,3737,PeteButtigieg
2017-01-16,160,23153,2,1499,5,3742,PeteButtigieg
2017-01-17,79,23232,1,1500,4,3746,PeteButtigieg
2017-01-18,224,23456,0,1500,6,3752,PeteButtigieg
2017-01-19,351,23807,3,1503,2,3754,PeteButtigieg
2017-01-20,437,24244,0,1503,6,3760,PeteButtigieg
2017-01-21,405,24649,12,1515,22,3782,PeteButtigieg
2017-01-22,173,24822,0,1515,6,3788,PeteButtigieg
2017-01-23,452,25274,1,1516,2,3790,PeteButtigieg
2017-01-24,189,25463,0,1516,1,3791,PeteButtigieg
2017-01-25,577,26040,6,1522,14,3805,PeteButtigieg
2017-01-26,261,26301,2,1524,20,3825,PeteButtigieg
2017-01-27,269,26570,4,1528,5,3830,PeteButtigieg
2017-01-28,285,26855,1,1529,19,3849,PeteButtigieg
2017-01-29,1313,28168,4,1533,22,3871,PeteButtigieg
2017-01-30,255,28423,3,1536,16,3887,PeteButtigieg
2017-01-31,107,28530,2,1538,5,3892,PeteButtigieg
2017-02-01,255,28785,2,1540,1,3893,PeteButtigieg
2017-02-02,118,28903,5,1545,11,3904,PeteButtigieg
2017-02-03,713,29616,4,1549,12,3916,PeteButtigieg
2017-02-04,601,30217,8,1557,9,3925,PeteButtigieg
2017-02-05,332,30549,3,1560,13,3938,PeteButtigieg
2017-02-06,175,30724,3,1563,13,3951,PeteButtigieg
2017-02-07,146,30870,2,1565,15,3966,PeteButtigieg
2017-02-08,321,31191,9,1574,12,3978,PeteButtigieg
2017-02-09,405,31596,2,1576,19,3997,PeteButtigieg
2017-02-10,192,31788,1,1577,6,4003,PeteButtigieg
2017-02-11,242,32030,1,1578,10,4013,PeteButtigieg
2017-02-12,981,33011,4,1582,14,4027,PeteButtigieg
2017-02-13,436,33447,3,1585,13,4040,PeteButtigieg
2017-02-14,279,33726,3,1588,14,4054,PeteButtigieg
2017-02-15,159,33885,1,1589,17,4071,PeteButtigieg
2017-02-16,364,34249,4,1593,18,4089,PeteButtigieg
2017-02-17,210,34459,4,1597,11,4100,PeteButtigieg
2017-02-18,127,34586,4,1601,21,4121,PeteButtigieg
2017-02-19,247,34833,2,1603,17,4138,PeteButtigieg
2017-02-20,400,35233,3,1606,16,4154,PeteButtigieg
2017-02-21,514,35747,14,1620,36,4190,PeteButtigieg
2017-02-22,1255,37002,1,1621,9,4199,PeteButtigieg
2017-02-23,5521,42523,3,1624,13,4212,PeteButtigieg
2017-02-24,1097,43620,3,1627,9,4221,PeteButtigieg
2017-02-25,6245,49865,0,1627,6,4227,PeteButtigieg
2017-02-26,6390,56255,1,1628,2,4229,PeteButtigieg
2017-02-27,1512,57767,3,1631,8,4237,PeteButtigieg
2017-02-28,206,57973,3,1634,8,4245,PeteButtigieg
2017-03-01,303,58276,4,1638,2,4247,PeteButtigieg
2017-03-02,157,58433,5,1643,8,4255,PeteButtigieg
2017-03-03,96,58529,1,1644,6,4261,PeteButtigieg
2017-03-04,107,58636,0,1644,0,4261,PeteButtigieg
2017-03-05,114,58750,0,1644,-2,4259,PeteButtigieg
2017-03-06,40,58790,3,1647,2,4261,PeteButtigieg
2017-03-07,53,58843,3,1650,0,4261,PeteButtigieg
2017-03-08,70,58913,9,1659,4,4265,PeteButtigieg
2017-03-09,90,59003,5,1664,14,4279,PeteButtigieg
2017-03-10,65,59068,1,1665,7,4286,PeteButtigieg
2017-03-11,49,59117,1,1666,2,4288,PeteButtigieg
2017-03-12,30,59147,12,1678,14,4302,PeteButtigieg
2017-03-13,138,59285,2,1680,7,4309,PeteButtigieg
2017-03-14,136,59421,0,1680,16,4325,PeteButtigieg
2017-03-15,846,60267,2,1682,9,4334,PeteButtigieg
2017-03-16,265,60532,1,1683,0,4334,PeteButtigieg
2017-03-17,121,60653,0,1683,11,4345,PeteButtigieg
2017-03-18,294,60947,1,1684,9,4354,PeteButtigieg
2017-03-19,94,61041,0,1684,1,4355,PeteButtigieg
2017-03-20,169,61210,1,1685,2,4357,PeteButtigieg
2017-03-21,98,61308,0,1685,6,4363,PeteButtigieg
2017-03-22,78,61386,0,1685,11,4374,PeteButtigieg
2017-03-23,29,61415,1,1686,11,4385,PeteButtigieg
2017-03-24,78,61493,2,1688,10,4395,PeteButtigieg
2017-03-25,108,61601,2,1690,7,4402,PeteButtigieg
2017-03-26,116,61717,2,1692,1,4403,PeteButtigieg
2017-03-27,68,61785,0,1692,6,4409,PeteButtigieg
2017-03-28,34,61819,0,1692,5,4414,PeteButtigieg
2017-03-29,64,61883,0,1692,5,4419,PeteButtigieg
2017-03-30,22,61905,1,1693,8,4427,PeteButtigieg
2017-03-31,9,61914,2,1695,8,4435,PeteButtigieg
2017-04-01,48,61962,1,1696,1,4436,PeteButtigieg
2017-04-02,18,61980,1,1697,0,4436,PeteButtigieg
2017-04-03,28,62008,1,1698,0,4436,PeteButtigieg
2017-04-04,105,62113,1,1699,5,4441,PeteButtigieg
2017-04-05,28,62141,3,1702,19,4460,PeteButtigieg
2017-04-06,32,62173,3,1705,5,4465,PeteButtigieg
2017-04-07,25,62198,1,1706,1,4466,PeteButtigieg
2017-04-08,17,62215,2,1708,7,4473,PeteButtigieg
2017-04-09,25,62240,0,1708,4,4477,PeteButtigieg
2017-04-10,17,62257,1,1709,3,4480,PeteButtigieg
2017-04-11,9,62266,2,1711,12,4492,PeteButtigieg
2017-04-12,55,62321,0,1711,3,4495,PeteButtigieg
2017-04-13,11,62332,4,1715,7,4502,PeteButtigieg
2017-04-14,61,62393,4,1719,4,4506,PeteButtigieg
2017-04-15,-3,62390,2,1721,6,4512,PeteButtigieg
2017-04-16,31,62421,2,1723,7,4519,PeteButtigieg
2017-04-17,31,62452,0,1723,4,4523,PeteButtigieg
2017-04-18,140,62592,2,1725,10,4533,PeteButtigieg
2017-04-19,41,62633,8,1733,21,4554,PeteButtigieg
2017-04-20,37,62670,1,1734,9,4563,PeteButtigieg
2017-04-21,55,62725,2,1736,6,4569,PeteButtigieg
2017-04-22,8,62733,2,1738,0,4569,PeteButtigieg
2017-04-23,35,62768,2,1740,3,4572,PeteButtigieg
2017-04-24,12,62780,0,1740,2,4574,PeteButtigieg
2017-04-25,5,62785,1,1741,4,4578,PeteButtigieg
2017-04-26,9,62794,0,1741,10,4588,PeteButtigieg
2017-04-27,31,62825,0,1741,11,4599,PeteButtigieg
2017-04-28,17,62842,0,1741,1,4600,PeteButtigieg
2017-04-29,22,62864,0,1741,3,4603,PeteButtigieg
2017-04-30,79,62943,0,1741,5,4608,PeteButtigieg
2017-05-01,45,62988,0,1741,1,4609,PeteButtigieg
2017-05-02,27,63015,1,1742,7,4616,PeteButtigieg
2017-05-03,9,63024,3,1745,4,4620,PeteButtigieg
2017-05-04,51,63075,6,1751,11,4631,PeteButtigieg
2017-05-05,91,63166,0,1751,4,4635,PeteButtigieg
2017-05-06,35,63201,1,1752,3,4638,PeteButtigieg
2017-05-07,30,63231,0,1752,6,4644,PeteButtigieg
2017-05-08,40,63271,2,1754,8,4652,PeteButtigieg
2017-05-09,23,63294,6,1760,21,4673,PeteButtigieg
2017-05-10,76,63370,11,1771,14,4687,PeteButtigieg
2017-05-11,11,63381,1,1772,3,4690,PeteButtigieg
2017-05-12,44,63425,2,1774,4,4694,PeteButtigieg
2017-05-13,13,63438,0,1774,6,4700,PeteButtigieg
2017-05-14,18,63456,2,1776,4,4704,PeteButtigieg
2017-05-15,16,63472,2,1778,5,4709,PeteButtigieg
2017-05-16,121,63593,2,1780,13,4722,PeteButtigieg
2017-05-17,32,63625,2,1782,4,4726,PeteButtigieg
2017-05-18,-8,63617,1,1783,4,4730,PeteButtigieg
2017-05-19,-13,63604,1,1784,8,4738,PeteButtigieg
2017-05-20,55,63659,0,1784,4,4742,PeteButtigieg
2017-05-21,30,63689,0,1784,1,4743,PeteButtigieg
2017-05-22,58,63747,2,1786,0,4743,PeteButtigieg
2017-05-23,43,63790,1,1787,4,4747,PeteButtigieg
2017-05-24,30,63820,0,1787,5,4752,PeteButtigieg
2017-05-25,15,63835,4,1791,10,4762,PeteButtigieg
2017-05-26,37,63872,0,1791,18,4780,PeteButtigieg
2017-05-27,16,63888,-16,1775,10,4790,PeteButtigieg
2017-05-28,14,63902,0,1775,0,4790,PeteButtigieg
2017-05-29,4,63906,0,1775,1,4791,PeteButtigieg
2017-05-30,6,63912,-1,1774,4,4795,PeteButtigieg
2017-05-31,20,63932,-17,1757,6,4801,PeteButtigieg
2017-06-01,111,64043,-2,1755,22,4823,PeteButtigieg
2017-06-02,76,64119,2,1757,17,4840,PeteButtigieg
2017-06-03,51,64170,0,1757,9,4849,PeteButtigieg
2017-06-04,24,64194,0,1757,3,4852,PeteButtigieg
2017-06-05,19,64213,0,1757,4,4856,PeteButtigieg
2017-06-06,12,64225,0,1757,18,4874,PeteButtigieg
2017-06-07,26,64251,0,1757,8,4882,PeteButtigieg
2017-06-08,20,64271,3,1760,1,4883,PeteButtigieg
2017-06-09,22,64293,0,1760,2,4885,PeteButtigieg
2017-06-10,11,64304,0,1760,1,4886,PeteButtigieg
2017-06-11,13,64317,0,1760,1,4887,PeteButtigieg
2017-06-12,48,64365,0,1760,1,4888,PeteButtigieg
2017-06-13,42,64407,2,1762,11,4899,PeteButtigieg
2017-06-14,62,64469,3,1765,8,4907,PeteButtigieg
2017-06-15,0,64469,0,1765,5,4912,PeteButtigieg
2017-06-16,20,64489,0,1765,9,4921,PeteButtigieg
2017-06-17,66,64555,0,1765,4,4925,PeteButtigieg
2017-06-18,38,64593,0,1765,8,4933,PeteButtigieg
2017-06-19,33,64626,0,1765,4,4937,PeteButtigieg
2017-06-20,60,64686,1,1766,8,4945,PeteButtigieg
2017-06-21,49,64735,1,1767,13,4958,PeteButtigieg
2017-06-22,31,64766,1,1768,2,4960,PeteButtigieg
2017-06-23,161,64927,0,1768,12,4972,PeteButtigieg
2017-06-24,116,65043,0,1768,1,4973,PeteButtigieg
2017-06-25,54,65097,0,1768,2,4975,PeteButtigieg
2017-06-26,69,65166,0,1768,5,4980,PeteButtigieg
2017-06-27,61,65227,2,1770,13,4993,PeteButtigieg
2017-06-28,34,65261,0,1770,2,4995,PeteButtigieg
2017-06-29,95,65356,1,1771,32,5027,PeteButtigieg
2017-06-30,166,65522,1,1772,7,5034,PeteButtigieg
2017-07-01,347,65869,0,1772,7,5041,PeteButtigieg
2017-07-02,70,65939,0,1772,1,5042,PeteButtigieg
2017-07-03,16,65955,0,1772,5,5047,PeteButtigieg
2017-07-04,50,66005,1,1773,4,5051,PeteButtigieg
2017-07-05,48,66053,6,1779,2,5053,PeteButtigieg
2017-07-06,29,66082,1,1780,6,5059,PeteButtigieg
2017-07-07,18,66100,0,1780,5,5064,PeteButtigieg
2017-07-08,32,66132,0,1780,3,5067,PeteButtigieg
2017-07-09,39,66171,1,1781,9,5076,PeteButtigieg
2017-07-10,198,66369,3,1784,9,5085,PeteButtigieg
2017-07-11,118,66487,1,1785,14,5099,PeteButtigieg
2017-07-12,45,66532,6,1791,13,5112,PeteButtigieg
2017-07-13,28,66560,0,1791,7,5119,PeteButtigieg
2017-07-14,21,66581,2,1793,13,5132,PeteButtigieg
2017-07-15,40,66621,-1,1792,6,5138,PeteButtigieg
2017-07-16,317,66938,2,1794,11,5149,PeteButtigieg
2017-07-17,104,67042,2,1796,1,5150,PeteButtigieg
2017-07-18,327,67369,3,1799,3,5153,PeteButtigieg
2017-07-19,99,67468,0,1799,2,5155,PeteButtigieg
2017-07-20,38,67506,3,1802,6,5161,PeteButtigieg
2017-07-21,29,67535,1,1803,5,5166,PeteButtigieg
2017-07-22,152,67687,1,1804,4,5170,PeteButtigieg
2017-07-23,43,67730,0,1804,1,5171,PeteButtigieg
2017-07-24,36,67766,-1,1803,1,5172,PeteButtigieg
2017-07-25,96,67862,1,1804,8,5180,PeteButtigieg
2017-07-26,85,67947,2,1806,9,5189,PeteButtigieg
2017-07-27,66,68013,2,1808,13,5202,PeteButtigieg
2017-07-28,52,68065,2,1810,17,5219,PeteButtigieg
2017-07-29,23,68088,0,1810,6,5225,PeteButtigieg
2017-07-30,21,68109,1,1811,1,5226,PeteButtigieg
2017-07-31,33,68142,0,1811,0,5226,PeteButtigieg
2017-08-01,28,68170,0,1811,1,5227,PeteButtigieg
2017-08-02,21,68191,1,1812,2,5229,PeteButtigieg
2017-08-03,28,68219,0,1812,7,5236,PeteButtigieg
2017-08-04,20,68239,0,1812,0,5236,PeteButtigieg
2017-08-05,10,68249,0,1812,0,5236,PeteButtigieg
2017-08-06,24,68273,0,1812,0,5236,PeteButtigieg
2017-08-08,23,68296,0,1812,4,5240,PeteButtigieg
2017-08-09,18,68314,0,1812,0,5240,PeteButtigieg
2017-08-10,39,68353,0,1812,0,5240,PeteButtigieg
2017-08-11,2,68355,1,1813,6,5246,PeteButtigieg
2017-08-12,60,68415,2,1815,4,5250,PeteButtigieg
2017-08-13,75,68490,-1,1814,6,5256,PeteButtigieg
2017-08-14,39,68529,0,1814,6,5262,PeteButtigieg
2017-08-15,34,68563,2,1816,14,5276,PeteButtigieg
2017-08-16,58,68621,1,1817,11,5287,PeteButtigieg
2017-08-17,65,68686,0,1817,10,5297,PeteButtigieg
2017-08-18,51,68737,0,1817,6,5303,PeteButtigieg
2017-08-19,28,68765,3,1820,13,5316,PeteButtigieg
2017-08-20,13,68778,0,1820,5,5321,PeteButtigieg
2017-08-21,23,68801,1,1821,8,5329,PeteButtigieg
2017-08-22,59,68860,1,1822,4,5333,PeteButtigieg
2017-08-23,37,68897,-1,1821,3,5336,PeteButtigieg
2017-08-24,21,68918,1,1822,1,5337,PeteButtigieg
2017-08-25,128,69046,3,1825,11,5348,PeteButtigieg
2017-08-26,100,69146,8,1833,11,5359,PeteButtigieg
2017-08-27,10,69156,0,1833,0,5359,PeteButtigieg
2017-08-28,15,69171,2,1835,1,5360,PeteButtigieg
2017-08-29,37,69208,1,1836,4,5364,PeteButtigieg
2017-08-30,54,69262,2,1838,4,5368,PeteButtigieg
2017-08-31,33,69295,2,1840,2,5370,PeteButtigieg
2017-09-01,20,69315,1,1841,4,5374,PeteButtigieg
2017-09-02,14,69329,0,1841,1,5375,PeteButtigieg
2017-09-03,10,69339,0,1841,0,5375,PeteButtigieg
2017-09-04,10,69349,12,1853,1,5376,PeteButtigieg
2017-09-05,6,69355,-2,1851,13,5389,PeteButtigieg
2017-09-06,68,69423,0,1851,4,5393,PeteButtigieg
2017-09-07,28,69451,1,1852,3,5396,PeteButtigieg
2017-09-08,18,69469,1,1853,3,5399,PeteButtigieg
2017-09-09,16,69485,8,1861,6,5405,PeteButtigieg
2017-09-10,39,69524,10,1871,1,5406,PeteButtigieg
2017-09-12,65,69589,6,1877,6,5412,PeteButtigieg
2017-09-13,2,69591,3,1880,9,5421,PeteButtigieg
2017-09-14,-14,69577,0,1880,8,5429,PeteButtigieg
2017-09-15,28,69605,0,1880,3,5432,PeteButtigieg
2017-09-16,1,69606,0,1880,4,5436,PeteButtigieg
2017-09-17,-1,69605,0,1880,1,5437,PeteButtigieg
2017-09-18,-18,69587,1,1881,4,5441,PeteButtigieg
2017-09-19,-10,69577,0,1881,2,5443,PeteButtigieg
2017-09-20,1,69578,2,1883,16,5459,PeteButtigieg
2017-09-21,6,69584,3,1886,8,5467,PeteButtigieg
2017-09-22,-16,69568,4,1890,0,5467,PeteButtigieg
2017-09-23,17,69585,2,1892,2,5469,PeteButtigieg
2017-09-24,4,69589,2,1894,8,5477,PeteButtigieg
2017-09-25,33,69622,5,1899,10,5487,PeteButtigieg
2017-09-26,6,69628,2,1901,2,5489,PeteButtigieg
2017-09-27,6,69634,0,1901,7,5496,PeteButtigieg
2017-09-28,-1,69633,0,1901,0,5496,PeteButtigieg
2017-09-29,8,69641,2,1903,5,5501,PeteButtigieg
2017-09-30,-2,69639,0,1903,3,5504,PeteButtigieg
2017-10-01,34,69673,5,1908,7,5511,PeteButtigieg
2017-10-02,854,70527,4,1912,10,5521,PeteButtigieg
2017-10-03,1184,71711,2,1914,17,5538,PeteButtigieg
2017-10-04,140,71851,-1,1913,7,5545,PeteButtigieg
2017-10-05,17,71868,11,1924,6,5551,PeteButtigieg
2017-10-06,10,71878,2,1926,13,5564,PeteButtigieg
2017-10-07,18,71896,1,1927,3,5567,PeteButtigieg
2017-10-08,19,71915,2,1929,3,5570,PeteButtigieg
2017-10-09,20,71935,1,1930,1,5571,PeteButtigieg
2017-10-10,33,71968,2,1932,16,5587,PeteButtigieg
2017-10-11,10,71978,4,1936,7,5594,PeteButtigieg
2017-10-12,24,72002,2,1938,7,5601,PeteButtigieg
2017-10-13,2,72004,1,1939,5,5606,PeteButtigieg
2017-10-14,20,72024,0,1939,0,5606,PeteButtigieg
2017-10-15,11,72035,0,1939,1,5607,PeteButtigieg
2017-10-16,30,72065,2,1941,2,5609,PeteButtigieg
2017-10-17,35,72100,3,1944,3,5612,PeteButtigieg
2017-10-18,13,72113,2,1946,2,5614,PeteButtigieg
2017-10-19,11,72124,2,1948,2,5616,PeteButtigieg
2017-10-20,22,72146,0,1948,1,5617,PeteButtigieg
2017-10-21,8,72154,1,1949,1,5618,PeteButtigieg
2017-10-22,19,72173,2,1951,1,5619,PeteButtigieg
2017-10-23,17,72190,1,1952,5,5624,PeteButtigieg
2017-10-24,8,72198,2,1954,11,5635,PeteButtigieg
2017-10-25,37,72235,-2,1952,11,5646,PeteButtigieg
2017-10-26,-14,72221,2,1954,9,5655,PeteButtigieg
2017-10-27,-5,72216,1,1955,3,5658,PeteButtigieg
2017-10-28,-3,72213,0,1955,3,5661,PeteButtigieg
2017-10-29,-6,72207,0,1955,4,5665,PeteButtigieg
2017-10-30,11,72218,1,1956,5,5670,PeteButtigieg
2017-10-31,13,72231,2,1958,2,5672,PeteButtigieg
2017-11-01,3,72234,0,1958,1,5673,PeteButtigieg
2017-11-02,26,72260,7,1965,5,5678,PeteButtigieg
2017-11-03,10,72270,2,1967,0,5678,PeteButtigieg
2017-11-04,-4,72266,2,1969,6,5684,PeteButtigieg
2017-11-05,-1,72265,0,1969,4,5688,PeteButtigieg
2017-11-06,8,72273,1,1970,1,5689,PeteButtigieg
2017-11-07,15,72288,2,1972,16,5705,PeteButtigieg
2017-11-08,39,72327,6,1978,9,5714,PeteButtigieg
2017-11-09,-15,72312,0,1978,9,5723,PeteButtigieg
2017-11-10,2,72314,2,1980,5,5728,PeteButtigieg
2017-11-11,2,72316,0,1980,0,5728,PeteButtigieg
2017-11-12,67,72383,4,1984,5,5733,PeteButtigieg
2017-11-13,-9,72374,2,1986,0,5733,PeteButtigieg
2017-11-14,5,72379,7,1993,6,5739,PeteButtigieg
2017-11-15,25,72404,1,1994,9,5748,PeteButtigieg
2017-11-16,17,72421,0,1994,1,5749,PeteButtigieg
2017-11-17,25,72446,1,1995,8,5757,PeteButtigieg
2017-11-18,12,72458,3,1998,3,5760,PeteButtigieg
2017-11-19,19,72477,5,2003,6,5766,PeteButtigieg
2017-11-20,2,72479,0,2003,0,5766,PeteButtigieg
2017-11-21,-1,72478,0,2003,4,5770,PeteButtigieg
2017-11-22,10,72488,0,2003,0,5770,PeteButtigieg
2017-11-23,16,72504,0,2003,1,5771,PeteButtigieg
2017-11-24,24,72528,0,2003,0,5771,PeteButtigieg
2017-11-25,12,72540,1,2004,1,5772,PeteButtigieg
2017-11-26,13,72553,0,2004,0,5772,PeteButtigieg
2017-11-27,-4,72549,0,2004,0,5772,PeteButtigieg
2017-11-28,6,72555,0,2004,7,5779,PeteButtigieg
2017-11-29,14,72569,3,2007,4,5783,PeteButtigieg
2017-11-30,7,72576,0,2007,6,5789,PeteButtigieg
2017-12-01,1,72577,0,2007,7,5796,PeteButtigieg
2017-12-02,50,72627,5,2012,14,5810,PeteButtigieg
2017-12-03,17,72644,0,2012,0,5810,PeteButtigieg
2017-12-04,6,72650,0,2012,5,5815,PeteButtigieg
2017-12-05,19,72669,2,2014,1,5816,PeteButtigieg
2017-12-06,12,72681,1,2015,1,5817,PeteButtigieg
2017-12-07,12,72693,1,2016,3,5820,PeteButtigieg
2017-12-08,-5,72688,0,2016,4,5824,PeteButtigieg
2017-12-09,4,72692,0,2016,0,5824,PeteButtigieg
2017-12-10,21,72713,0,2016,2,5826,PeteButtigieg
2017-12-16,152,72865,16,2032,26,5852,PeteButtigieg
2017-12-17,18,72883,0,2032,0,5852,PeteButtigieg
2017-12-18,2,72885,0,2032,0,5852,PeteButtigieg
2017-12-19,-9,72876,0,2032,0,5852,PeteButtigieg
2017-12-20,11,72887,0,2032,18,5870,PeteButtigieg
2017-12-21,8,72895,0,2032,6,5876,PeteButtigieg
2017-12-22,7,72902,0,2032,0,5876,PeteButtigieg
2017-12-23,0,72902,0,2032,2,5878,PeteButtigieg
2017-12-24,3,72905,0,2032,0,5878,PeteButtigieg
2017-12-25,13,72918,1,2033,4,5882,PeteButtigieg
2017-12-26,6,72924,0,2033,1,5883,PeteButtigieg
2017-12-27,56,72980,1,2034,2,5885,PeteButtigieg
2017-12-28,20,73000,0,2034,0,5885,PeteButtigieg
2017-12-29,155,73155,2,2036,0,5885,PeteButtigieg
2017-12-30,36,73191,0,2036,0,5885,PeteButtigieg
2017-12-31,-1,73190,1,2037,0,5885,PeteButtigieg
2018-01-01,6,73196,2,2039,1,5886,PeteButtigieg
2018-01-02,-2,73194,2,2041,6,5892,PeteButtigieg
2018-01-03,20,73214,1,2042,2,5894,PeteButtigieg
2018-01-04,12,73226,0,2042,2,5896,PeteButtigieg
2018-01-05,40,73266,5,2047,6,5902,PeteButtigieg
2018-01-06,23,73289,0,2047,8,5910,PeteButtigieg
2018-01-07,15,73304,0,2047,2,5912,PeteButtigieg
2018-01-08,18,73322,0,2047,4,5916,PeteButtigieg
2018-01-09,15,73337,3,2050,14,5930,PeteButtigieg
2018-01-10,33,73370,0,2050,5,5935,PeteButtigieg
2018-01-11,5,73375,0,2050,1,5936,PeteButtigieg
2018-01-12,15,73390,4,2054,6,5942,PeteButtigieg
2018-01-13,10,73400,3,2057,3,5945,PeteButtigieg
2018-01-14,22,73422,0,2057,1,5946,PeteButtigieg
2018-01-15,6,73428,0,2057,4,5950,PeteButtigieg
2018-01-16,0,73428,2,2059,3,5953,PeteButtigieg
2018-01-17,16,73444,2,2061,3,5956,PeteButtigieg
2018-01-18,-3,73441,0,2061,1,5957,PeteButtigieg
2018-01-19,15,73456,6,2067,14,5971,PeteButtigieg
2018-01-20,35,73491,0,2067,0,5971,PeteButtigieg
2018-01-21,22,73513,1,2068,1,5972,PeteButtigieg
2018-01-22,0,73513,0,2068,5,5977,PeteButtigieg
2018-01-23,9,73522,2,2070,3,5980,PeteButtigieg
2018-01-24,108,73630,0,2070,3,5983,PeteButtigieg
2018-01-25,-4,73626,0,2070,0,5983,PeteButtigieg
2018-01-26,21,73647,2,2072,4,5987,PeteButtigieg
2018-01-27,54,73701,1,2073,3,5990,PeteButtigieg
2018-01-28,23,73724,2,2075,1,5991,PeteButtigieg
2018-01-29,0,73724,1,2076,4,5995,PeteButtigieg
2018-01-30,-8,73716,-1,2075,5,6000,PeteButtigieg
2018-01-31,42,73758,1,2076,13,6013,PeteButtigieg
2018-02-01,12,73770,1,2077,12,6025,PeteButtigieg
2018-02-02,0,73770,2,2079,7,6032,PeteButtigieg
2018-02-03,0,73770,1,2080,5,6037,PeteButtigieg
2018-02-04,1,73771,0,2080,0,6037,PeteButtigieg
2018-02-05,12,73783,2,2082,0,6037,PeteButtigieg
2018-02-06,-7,73776,4,2086,3,6040,PeteButtigieg
2018-02-07,8,73784,7,2093,4,6044,PeteButtigieg
2018-02-08,7,73791,0,2093,0,6044,PeteButtigieg
2018-02-09,15,73806,0,2093,9,6053,PeteButtigieg
2018-02-10,12,73818,-11,2082,4,6057,PeteButtigieg
2018-02-11,15,73833,-2,2080,5,6062,PeteButtigieg
2018-02-12,10,73843,3,2083,2,6064,PeteButtigieg
2018-02-13,-9,73834,4,2087,18,6082,PeteButtigieg
2018-02-14,-4,73830,3,2090,5,6087,PeteButtigieg
2018-02-15,89,73919,0,2090,2,6089,PeteButtigieg
